obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"665.1367"	"0.0004"	"665.136933"	"0.000008"	"14"	""		"18069.065569"	"33099.41329"	"6d.7s2.7p"	"1F*"	"3"	""	""	"3"		""	"L12239"	
"665.2225"	"0.0004"	"665.222883"	"0.000008"	"14"	""		"16217.482038"	"31245.88778"	"6d.7s2.7p"	"1D*"	"2"	""	""	"2"		""	"L3552"	
"665.4110"	"0.0003"	"665.410468"	"0.000008"	"17"	""		"15493.21943"	"30517.38856"	"6d3.(2H).7s"	"3H"	"4"	""	"*"	"4"		""	"L12239"	
"665.42296"	"0.00022"	"665.422984"	"0.000006"	"54"	""		"15493.21943"	"30517.10597"	"6d3.(2H).7s"	"3H"	"4"	""	"*"	"5"		""	"L12239"	
"665.43671"	"0.00004"	"665.436753"	"0.000007"	"400"	""		"13297.43316"	"28321.00884"	"6d3.(2G).7s"	"3G"	"4"	""	"*"	"5"		""	"L18702"	
"665.5070"	"0.0003"	"665.506593"	"0.000007"	"34"	""		"18809.88631"	"33831.88538"	"6d2.7s.7p"	"5G*"	"4"	""	""	"4"		""	"L12239"	
"665.54892"	"0.00007"	"665.548917"	"0.000006"	"160"	""		"15736.968041"	"30758.01183"	"6d2.7s.7p"	"5F*"	"1"	""	""	"2"		""	"L5951"	
"665.59274"	"0.00007"	"665.592713"	"0.000022"	"150"	""		"23032.986182"	"38053.0416"	"5f.7s2.7p"	"3G"	"4"	""	"*"	"3"		""	"L5951"	
"665.6503"	"0.0004"	"665.648737"	"0.000022"	"7"	""		"18699.62342"	"33718.4147"	"5f.7s2.7p"	"3F"	"2"	""	"*"	"2"		""	"L3552"	
"665.6708"	"0.0004"	"665.66983"	"0.00003"	"30"	""		"22669.88918"	"37688.2046"	""	"*"	"3"	""	""	"3"		""	"L3552"	
"665.7879"	"0.0004"	"665.787327"	"0.000014"	"22"	""		"20566.62381"	"35582.2888"	"6d2.7s.7p"	"5D*"	"4"	""	""	"5"		""	"L3552"	
"665.8071"	"0.0004"	"665.806102"	"0.000018"	"15"	""		"22877.58322"	"37892.8248"	""	"*"	"5"	"5f.6d2.7p "	"5I"	"4"		""	"L3552"	
"665.8185"	"0.0003"	"665.81875"	"0.00003"	"21"	""		"23201.98997"	"38216.9462"	"5f.6d.7s.7p"	"5G"	"3"	""	"*"	"3"		""	"L12239"	
"665.867738"	"0.000007"	"665.867740"	"0.000004"	"2400"	""		"11241.73043"	"26255.58209"	"5f.6d.7s2"	"3F*"	"3"	""	""	"4"		""	"L18702"	
"665.8869"	"0.0004"	"665.88511"	"0.00003"	"15"	""		"22508.04658"	"37521.5066"	"6d2.7s.7p"	"5P*"	"2"	""	""	"3"		""	"L3552"	
"665.91119"	"0.00010"	"665.911076"	"0.000018"	"70"	""		"22877.58322"	"37890.4578"	""	"*"	"5"	""	""	"5"		""	"L5951"	
"665.9266"	"0.0004"	"665.925864"	"0.000014"	"15"	""		"21077.152101"	"36089.6933"	"6d2.7s.7p"	"5F*"	"5"	""	""	"4"		""	"L3552"	
"665.9331"	"0.0004"	"665.93238"	"0.00003"	"22"	""		"19713.03109"	"34725.4253"	"6d3.(2F).7s"	"3F"	"3"	""	"*"	"3"		""	"L3552"	
"666.1320"	"0.0004"	"666.130164"	"0.000011"	"22"	""		"18382.82669"	"33390.76362"	"6d2.7s.7p"	"5D*"	"0"	""	""	"1"		""	"L3552"	
"666.226850"	"0.000004"	"666.226850"	"0.000004"	"16000"	""		"7502.287636"	"22508.04658"	"6d3.(4F).7s"	"5F"	"3"	"6d2.7s.7p"	"5P*"	"2"		""	"L18702"	
"666.36969"	"0.00004"	"666.369660"	"0.000006"	"400"	""		"8111.004545"	"23113.54761"	"6d2.7s2"	"1G"	"4"	"5f.6d2.7s"	"5G*"	"4"		""	"L18702"	
"666.6987"	"0.0004"	"666.697729"	"0.000022"	"29"	""		"21890.13254"	"36885.2932"	""	"*"	"3"	""	""	"4"		""	"L3552"	
"666.8414"	"0.0004"	"666.84144"	"0.00003"	"59"	""		"24915.01853"	"39906.9477"	"6d3.(2D1).7s"	"3D"	"3"	""	"*"	"4"		""	"L3552"	
"666.8664"	"0.0003"	"666.865810"	"0.000018"	"33"	""		"19713.03109"	"34704.4123"	"6d3.(2F).7s"	"3F"	"3"	""	"*"	"3"		""	"L12239"	
"666.88164"	"0.00003"	"666.881639"	"0.000004"	"540"	""		"10414.13700"	"25405.16237"	"5f.6d.7s2"	"1G*"	"4"	"5f.6d.7s.7p"	"5H"	"4"		""	"L18702"	
"666.89399"	"0.00008"	"666.894009"	"0.000007"	"100"	""		"16783.84708"	"31774.59439"	"5f.6d2.7s"	"5I*"	"4"	""	""	"3"		""	"L5951"	
"666.94493"	"0.00009"	"666.945018"	"0.000005"	"96"	""		"13945.307389"	"28934.90819"	"6d.7s2.7p"	"3F*"	"3"	""	""	"3"		""	"L5951"	
"666.9531"	"0.0004"	"666.95201"	"0.00003"	"21"	""		"22141.60454"	"37131.0482"	""	"*"	"3"	""	""	"3"		""	"L3552"	
"666.9634"	"0.0004"	"666.96357"	"0.00004"	"7"	""		"26723.66908"	"41712.8529"	"5f.6d2.7s"	"5G*"	"6"	""	""	"5"		""	"L12239"	
"667.0724"	"0.0003"	"667.072494"	"0.000004"	"22"	""		"4961.658832"	"19948.395175"	"6d2.7s2"	"3F"	"4"	"6d2.7s.7p"	"5F*"	"4"		""	"L12239"	
"667.1684"	"0.0004"	"667.16706"	"0.00003"	"21"	""		"21668.957072"	"36653.5692"	"6d2.7s.7p"	"5P*"	"1"	""	""	"2"		""	"L3552"	
"667.2383"	"0.0004"	"667.237803"	"0.000023"	"7"	""		"21902.26981"	"36885.2932"	"5f.6d2.7s"	"3H*"	"4"	""	""	"4"		""	"L3552"	
"667.34115"	"0.00022"	"667.341077"	"0.000004"	"52"	""		"5563.141519"	"20543.84624"	"6d3.(4F).7s"	"5F"	"1"	"6d.7s2.7p"	"3P*"	"0"		""	"L12239"	
"667.35799"	"0.00003"	"667.357986"	"0.000006"	"500"	""		"16346.64962"	"31326.97478"	"5f.6d2.7s"	"5H*"	"4"	""	""	"4"		""	"L18702"	
"667.469675"	"0.000006"	"667.469681"	"0.000004"	"3000"	""		"2869.259165"	"17847.07751"	"6d2.7s2"	"3F"	"3"	"5f.6d.7s2"	"3P*"	"2"		""	"L18702"	
"667.5023"	"0.0004"	"667.501388"	"0.000023"	"58"	""		"23015.15141"	"37992.2583"	""	"*"	"5"	""	""	"4"		""	"L3552"	
"667.5341"	"0.0004"	"667.533455"	"0.000023"	"29"	""		"21539.59257"	"36515.9800"	""	"*"	"4"	""	""	"3"		""	"L3552"	
"667.7961"	"0.0003"	"667.795776"	"0.000012"	"30"	""		"14226.82045"	"29197.32496"	"6d3.(2P).7s"	""	"0"	""	"*"	"1"		""	"L12239"	
"667.870652"	"0.000011"	"667.870646"	"0.000004"	"1500"	""		"7280.123222"	"22248.94952"	"6d2.7s2"	""	"2"	""	"*"	"2"		""	"L18702"	
"667.9637"	"0.0004"	"667.96357"	"0.00003"	"8"	""		"24032.22651"	"38998.9704"	"5f.6d.7s.7p"	"5G"	"4"	""	"*"	"3"		""	"L12239"	
"668.00811"	"0.00007"	"668.008125"	"0.000006"	"180"	""		"15166.900593"	"30132.64625"	"6d2.7s.7p"	"5G*"	"3"	""	""	"2"		""	"L5951"	
"668.0664"	"0.0004"	"668.066327"	"0.000023"	"14"	""		"22338.99484"	"37303.4367"	"5f.6d2.7s"	"5G*"	"3"	""	""	"4"		""	"L3552"	
"668.0943"	"0.0004"	"668.094049"	"0.000018"	"14"	""		"22855.29928"	"37819.1202"	""	"*"	"3"	""	""	"4"		""	"L3552"	
"668.28376"	"0.00018"	"668.283764"	"0.000004"	"82"	""		"5563.141519"	"20522.71449"	"6d3.(4F).7s"	"5F"	"1"	"6d2.7s.7p"	"3F*"	"2"		""	"L12239"	
"668.336717"	"0.000013"	"668.336709"	"0.000004"	"1300"	""		"8243.602091"	"23201.98997"	"5f.6d.7s2"	"3F*"	"2"	"5f.6d.7s.7p"	"5G"	"3"		""	"L18702"	
"668.3991"	"0.0004"	"668.398562"	"0.000007"	"58"	""		"17501.17592"	"32458.17957"	"5f.6d2.7s"	"5I*"	"5"	""	""	"4"		""	"L3552"	
"668.40484"	"0.00005"	"668.404852"	"0.000010"	"320"	""		"14465.221873"	"29422.08479"	"6d2.7s.7p"	"5G*"	"2"	"6d4"	""	"1"		""	"L5951"	
"668.4687"	"0.0004"	"668.468633"	"0.000008"	"58"	""		"13962.51989"	"28917.95572"	"6d3.(2D2).7s"	""	"1"	""	"*"	"2"		""	"L3552"	
"668.5701"	"0.0004"	"668.569990"	"0.000006"	"29"	""		"14465.221873"	"29418.39044"	"6d2.7s.7p"	"5G*"	"2"	""	""	"2"		""	"L3552"	
"668.6215"	"0.0003"	"668.621517"	"0.000007"	"32"	""		"18011.38030"	"32963.39652"	"5f.6d2.7s"	"5H*"	"5"	""	""	"5"		""	"L12239"	
"668.75207"	"0.00006"	"668.751976"	"0.000014"	"230"	""		"15863.88829"	"30812.9877"	"6d3.(2D2).7s"	""	"2"	""	"*"	"2"		""	"L5951"	
"668.9781"	"0.0003"	"668.978803"	"0.000011"	"20"	""		"19503.143490"	"34447.17423"	"6d2.7s.7p"	"5F*"	"3"	""	""	"4"		""	"L12239"	
"669.0271"	"0.0004"	"669.026897"	"0.000023"	"29"	""		"22098.18793"	"37041.1444"	"5f.6d.7s.7p"	"5I"	"4"	""	"*"	"4"		""	"L3552"	
"669.0906"	"0.0004"	"669.090457"	"0.000018"	"370"	""		"22877.58322"	"37819.1202"	""	"*"	"5"	""	""	"4"		""	"L3552"	
"669.1392"	"0.0003"	"669.13801"	"0.00003"	"17"	""		"24381.33337"	"39321.8086"	""	"*"	"2"	""	""	"3"		""	"L12239"	
"669.32066"	"0.00018"	"669.320734"	"0.000006"	"78"	""		"12847.96912"	"27784.36557"	"6d3.(4P).7s"	"5P"	"3"	""	"*"	"2"		""	"L12239"	
"669.40068"	"0.00005"	"669.400652"	"0.000005"	"320"	""		"14206.91694"	"29141.53019"	"5f.6d.7s2"	"3F*"	"4"	""	""	"5"		""	"L5951"	
"669.44967"	"0.00005"	"669.449657"	"0.000006"	"350"	""		"15618.98461"	"30552.50463"	"5f.6d2.7s"	"5H*"	"3"	""	""	"4"		""	"L5951"	
"669.4677"	"0.0003"	"669.468422"	"0.000018"	"15"	""		"22399.39666"	"37332.4981"	"5f.6d2.7s"	"3I*"	"5"	"5f.6d2.7p "	"5K "	"6"		""	"L12239"	
"669.5181"	"0.0003"	"669.517885"	"0.000010"	"29"	""		"20867.97560"	"35799.97381"	"5f.6d2.7s"	"5I*"	"7"	"5f.6d.7s.7p"	"3I"	"6"		""	"L12239"	
"669.613969"	"0.000022"	"669.613976"	"0.000005"	"700"	""		"12114.36618"	"27044.22163"	"5f.6d.7s2"	"1D*"	"2"	""	""	"3"		""	"L18702"	
"669.6886"	"0.0004"	"669.688439"	"0.000014"	"7"	""		"19503.143490"	"34431.3389"	"6d2.7s.7p"	"5F*"	"3"	""	""	"3"		""	"L3552"	
"669.6996"	"0.0004"	"669.69788"	"0.00003"	"7"	""		"21890.13254"	"36818.1174"	""	"*"	"3"	""	""	"2"		""	"L3552"	
"669.7139"	"0.0004"	"669.714344"	"0.000014"	"36"	""		"19516.98043"	"34444.5984"	"6d2.7s.7p"	"5D*"	"2"	""	""	"2"		""	"L3552"	
"669.771213"	"0.000018"	"669.771194"	"0.000004"	"970"	""		"3687.987189"	"18614.33811"	"6d2.7s2"	""	"2"	"6d2.7s.7p"	"5D*"	"1"		""	"L18702"	
